Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Євтушок,Степан,Зорянович,Чоловіча,1985-05-25,Співак,селище Березань,"шосе Мелітопольська, буд. 2 кв. 18, Коростишів, 64793",+380 93 045-98-48,drozdtaras@example.com
Негода,Антон,Костянтинович,Чоловіча,2001-04-29,Водій,селище Жданівка,"парк Романтиків, буд. 629, Лисичанськ, 04784",674-31-64,lperepelytsia@example.org
Свистун,Богуслав,Панасович,Чоловіча,1986-04-05,Кухар,хутір Володимир-Волинський,"узвіз Ветеранів праці, буд. 560 кв. 8, Гірське, 30476",965-03-58,lukiansavenko@example.net
Лаба,Пармен,Богданович,Чоловіча,1956-08-25,Вчитель,селище Вільнянськ,"провулок Семена Яхненка, буд. 45 кв. 4, Нововолинськ, 21656",+380 44 236-83-82,eduardpalii@example.org
Щорс,Тарас,Вікторович,Чоловіча,1998-05-17,Філолог,місто Перещепине,"узвіз Офіцерський 2-й, буд. 1 кв. 11, Почаїв, 52998",+380 00 986-43-03,vladyslav51@example.net
Деркач,Марко,Зиновійович,Чоловіча,1993-10-17,Науковець,місто Підгайці,"набережна Крижанівський, буд. 21 кв. 59, Батурин, 18984",+380 (46) 443-60-85,lytvynenkovladyslav@example.com
Сагаль,Прохір,Єлисейович,Чоловіча,1979-01-02,Програміст,село Великі Мости,"парк Партизанська, буд. 2, Монастирище, 27470",011 350 93 62,obabenko@example.net
Примаченко,Франц,Соломонович,Чоловіча,1955-11-21,Актор,селище Татарбунари,"провулок Бреуса Якова, буд. 709 кв. 998, Шумськ, 83829",+380 43 179-44-13,herman16@example.org
Рубець,Леопольд,Прохорович,Чоловіча,1942-08-04,Кухар,село Самар,"вулиця Рози вітрів, буд. 959, Дебальцеве, 97896",+380 91 989-40-28,oryna16@example.net
Гаврилець,Амвросій,Стефанович,Чоловіча,1947-07-04,Флорист,хутір Українка,"проспект Чорноморський 4-й, буд. 1 кв. 76, Березівка, 30190",882-59-90,vasylynaisaienko@example.net
Захаренко,Прохір,Миронович,Чоловіча,1957-08-12,Петрограф,місто Пирятин,"сквер Дюківський сад, буд. 6 кв. 50, Переяслав, 42088",208 07 63,iustynanehoda@example.org
Корпанюк,Нестор,Амвросійович,Чоловіча,1975-03-05,Кушнір,місто Коломия,"узвіз Аркаса Миколи, буд. 4, Городок, 60357",+380 (62) 807-88-71,alla29@example.net
Іващенко,Іван,Назарович,Чоловіча,2000-01-03,Історик,село Пирятин,"сквер Краснова, буд. 5, Благовіщенське, 50585",+380 90 925 91 92,vartym@example.com
Швачка,Гордій,Гаврилович,Чоловіча,1967-06-19,Кухар,місто Мала Виска,"набережна Хаджибейський 1-й, буд. 536 кв. 127, Апостолове, 16021",083 871 73 18,verkholavolodymyra@example.net
Пʼятаченко,Лукʼян,Назарович,Чоловіча,1993-12-21,Будник,село Новий Розділ,"шосе Миколи Кравченка, буд. 0 кв. 0, Ковель, 97376",+380 79 689 74 08,geregapanas@example.org
Абраменко,Олесь,Охрімович,Чоловіча,1974-08-22,Перекладач,село Христинівка,"шосе Наклонна, буд. 833, Ходорів, 12000",+380 66 642-76-37,orkhypsirko@example.com
Рубан,Венедикт,Соломонович,Чоловіча,1949-04-11,Програміст,селище Таврійськ,"проспект Леонтовича, буд. 89, Гуляйполе, 04040",+380 59 510-23-36,iustymdatsenko@example.com
Чабан,Климент,Гаврилович,Чоловіча,1977-09-20,Круп'є,село Болехів,"парк Лазурний 6-й, буд. 6, Золоте, 11549",333-76-11,liliiabaran@example.org
Швачко,Остап,Веніяминович,Чоловіча,1989-05-24,Музичний редактор,хутір Березань,"вулиця Шевальових, буд. 12, Ясинувата, 14414",+380 (15) 151-04-20,viacheslav75@example.net
Яковенко,Зиновій,Валерійович,Чоловіча,1942-05-02,Сценарист,село Новоград-Волинський,"провулок Південна дорога, буд. 061 кв. 73, Ходорів, 58799",+380 (91) 332-87-48,komarpavlo@example.org
Фоменко,Ігор,Станіславович,Чоловіча,2007-09-30,Сантехнік,селище Гірське,"шосе Авіаторів, буд. 173, Баштанка, 25034",+380 18 645 33 37,kbatiuk@example.net
Верхола,Макар,Гаврилович,Чоловіча,1945-10-31,Драматург,місто Кривий Ріг,"сквер Кленова, буд. 185 кв. 0, Новояворівськ, 53041",449 89 11,davydenkoleopold@example.com
Гайдай,Владислав,Віталійович,Чоловіча,1999-01-25,Гінеколог,село Полонне,"провулок Лінія 30-та, буд. 1, Люботин, 67513",419 07 64,drobakhahanna@example.org
Яковенко,Руслан,Климентович,Чоловіча,1981-01-24,Кухар,селище Берестин,"узвіз Лінія 33-тя, буд. 72, Сорокине, 13496",074 300 45 89,petro22@example.net
Ґжицький,Прохір,Амвросійович,Чоловіча,1978-07-06,Намотувальник,село Тернопіль,"провулок Лузанівка, буд. 947 кв. 1, Бібрка, 78209",549-92-60,iukhymdanyliuk@example.org
Даньків,Іван,Микитович,Чоловіча,1981-06-22,Будник,село Миколаїв,"проспект Четверта, буд. 486, Хмельницький, 16717",+380 65 487-51-85,khrystyna11@example.com
Адамчук,Зорян,Сергійович,Чоловіча,1945-01-19,Палеонтолог,місто Старий Крим,"узвіз Деревообробна, буд. 4, Новомиргород, 83402",+380 35 171-88-06,nzharko@example.com
Царенко,Олександр,Захарович,Чоловіча,1958-01-31,Стоматолог,село Чорноморськ,"сквер Госпітальєрів, буд. 454 кв. 220, Монастирище, 20290",+380 (25) 237-31-10,mhavriushenko@example.org
Туркало,Климент,Лукʼянович,Чоловіча,1978-12-14,Науковець,хутір Зеленодольськ,"шосе Віри Інбер, буд. 56 кв. 0, Помічна, 17603",+380 13 618-69-46,zbezditko@example.com
Ґоляш,Олесь,Йосипович,Чоловіча,1970-02-18,Сценарист,село Сторожинець,"провулок Басейний 2-й, буд. 771, Судак, 07349",+380 (76) 978-78-09,olesiakymchuk@example.net
Журба,Ростислав,Давидович,Чоловіча,1987-12-04,Філолог,село Снігурівка,"узвіз Скидановська, буд. 25, Миколаївка, 64647",+380 29 879-60-05,adam77@example.org
Хорішко,Болеслав,Захарович,Чоловіча,1991-03-28,Модельєр,місто Шептицький,"набережна Аеропортівський 4-й, буд. 4, Кам'янське, 90132",059 901-60-45,cmiroshnychenko@example.org
Атрощенко,Єфрем,Гаврилович,Чоловіча,1948-01-25,Провізор,селище Гадяч,"шосе Керченський 2-й, буд. 112 кв. 57, П'ятихатки, 03915",+380 (70) 855-98-30,nataliiadeisun@example.net
Лесик,Ігор,Едуардович,Чоловіча,1958-12-09,Дерун,хутір Володимир-Волинський,"площа Миколи Бурачека, буд. 928 кв. 91, Долинська, 16892",074 628-61-70,trokhym34@example.org
Комар,Хома,Данилович,Чоловіча,2003-03-11,Бізнесмен,село Новоград-Волинський,"парк Улицька, буд. 8 кв. 436, Нова Одеса, 90301",+380 58 787-59-36,feofankabanenko@example.net
Малик,Олекса,Теодорович,Чоловіча,1969-04-14,Промисловець,село Старий Крим,"парк Василя Кандинського, буд. 93, Радехів, 21347",038 508-60-80,hbevzenko@example.org
Лисенко,Роман,Георгійович,Чоловіча,1997-07-21,Режисер,хутір Макіївка,"вулиця Деревообробний 5-й, буд. 87 кв. 90, Зеленодольськ, 97234",013 237 55 56,iaroslavatsisyk@example.net
Ґерус,Мирон,Устимович,Чоловіча,1981-05-05,Астроном,хутір Турка,"провулок Полуничний, буд. 8 кв. 2, Інкерман, 78693",+380 (20) 747-74-39,dshablii@example.net
